Y,DN,DN,N,,DN,N,Y,T,,N,Y,DN,friends,0,N
Y,DN,DN,N,,Y,Y,NR,T,,,,,friends,medium,N
Y,DN,DN,DN,,DN,N,NR,T,,,,,,0,N
Y,DN,Y,N,,Y,Y,Y,T,,,,,,medium,Y
Y,DN,Y,DN,,Y,DN,Y,T,N,,,,,medium,N
Y,DN,DN,DN,,DN,DN,NR,T,,,,,,0,N
Y,DN,Y,N,,Y,DN,Y,H,,,,,,,
N,Y,Y,N,,Y,N,NR,T,,,,,,0,N
Y,Y,Y,N,,Y,Y,NR,T,,,,,,0,N
Y,DN,Y,N,,Y,Y,Y,T,,,,,,medium,N
Y,DN,Y,N,,DN,DN,NR,,,,,,,0,N
Y,DN,Y,N,,Y,Y,NR,T,Y,,,,,0,N
Y,DN,DN,DN,,DN,DN,NR,T,,,,,,0,N
Y,DN,Y,DN,,Y,DN,NR,T,,,,,,medium,N
Y,DN,Y,N,,DN,DN,NR,T,,,,,,0,N
N,DN,DN,N,Y,Y,Y,Y,T,,,,,,high,N
Y,DN,DN,DN,,Y,Y,Y,H,,,,,,,
Y,DN,DN,N,,DN,DN,NR,T,,,,,,0,N
Y,DN,Y,N,,Y,DN,NR,T,,,,,,0,N
