"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN","Y",,,,,
"DNS","DN","Y","N","DN","DN","DN","NR",,"N",,,,,,
"DNS","DN","DN","DN","DN","Y","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","N","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"Y","Y","Y","N","Y","Y","Y","Y","T","Y",,"Y","Y","Friends",13,"N"
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","N","N","N","DN","DN","NR",,"DN",,,,,,
"Y","DN","DN","DN","DN","Y","Y","NR","T","T",,"Y","Y","Friends",13,"N"
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","N","N","DN","DN","DN","Y",,"DN",,,,,,
"DNS","DN","Y","N","DN","Y","DN","NR",,"DN",,,,,,
"DNS","Y","Y","N","DN","N","N","N",,"N",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","Y","Y","N","DN","Y","Y","Y",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","Y","DN","DN","DN","Y","DN","N",,"Y",,,,,,
"DNS","DN","Y","N","DN","Y","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"N","DN","Y","DN","DN","N","DN","Y","H","DN",,,,"Alone",,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"Y","N","Y","N","DN","Y","Y","Y","T","DN",,"N","Y","Friends",14,"N"
"DNS","DN","N","N","Y","N","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","Y","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","Y","N","DN","Y","Y","Y",,"N",,,,,,
"Y","Y","N","N","DN","Y","Y","NR","T","Y",,"N","Y","Friends",17,"N"
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","Y","N","DN","Y","Y","Y",,"DN",,,,,,
"DNS","DN","N","N","Y","N","DN","NR",,"DN",,,,,,
"Y","DN","Y","N","Y","N","DN","Y","H","DN",,,,"Friends",,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","N","DN","NR",,"DN",,,,,,
"DNS","Y","Y","N","DN","Y","DN","N",,"Y",,,,,,
"Y","DN","DN","DN","DN","Y","DN","NR","T","DN",,"Y","Y","Friends",16,"N"
"Y","DN","Y","N","DN","Y","DN","NR",,"Y",,,,,,
"Y","DN","Y","N","DN","DN","DN","Y","H","DN",,,,"Alone",,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"N","Y","Y","DN","Y","Y","DN","NR","T","DN",,"Y","Y","Friends",13,"N"
"Y","DN","Y","N","DN","Y","DN","Y","T","DN",,"Y","Y","Friends",16,"N"
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","Y","DN","N","DN","DN","NR",,"N",,,,,,
"DNS","DN","Y","N","DN","DN","Y","NR",,"N",,,,,,
"DNS","DN","N","N","Y","DN","Y","Y",,"N",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","Y","N","DN","Y","Y","Y",,"Y",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","Y","Y","N","DN","N","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"Y","DN","Y","N","DN","Y","Y","Y","H","Y",,,,"Friends",,
"Y","Y","Y","N","Y","Y","Y","Y","T","N",,"N","Y","Friends",10,"Y"
"Y","Y","Y","N","DN","N","Y","Y","H","DN",,,,"Friends",,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"Y","Y","Y","N","Y","Y","Y","Y","T","Y",,"Y","Y","Friends",16,"N"
,,,,,,,,,,,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","N","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","Y","Y","N","DN","DN","Y","NR",,"Y",,,,,,
"DNS","DN","DN","DN","DN","N","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","DN","DN","NR",,"DN",,,,,,
"DNS","DN","DN","DN","DN","Y","DN","Y",,"DN",,,,,,
"Y","DN","Y","N","DN","Y","Y","Y","T","DN",,"Y","Y","Friends",16,"N"
"DNS","DN","DN","DN","DN","DN","DN","Y",,"DN",,,,,,
