Y,Y,Y,N,N,Y,Y,Y,T,N,,Y,Y,friends,15,N
Y,Y,Y,N,Y,Y,Y,Y,T,Y,,,,friends,15,Y
Y,Y,Y,N,N,Y,Y,Y,T,N,,N,Y,friends,15,N
Y,Y,Y,N,N,Y,Y,Y,T,N,,,,friends,15,N
Y,Y,Y,N,N,Y,Y,Y,H,N,,,,friends,20,N
Y,Y,Y,N,Y,Y,Y,Y,H,Y,,,,friends,20,N
N,N,N,N,N,N,N,Y,,N,,,,friends,0,N
Y,Y,N,N,Y,Y,Y,Y,T,Y,,N,N,friends,30,N
Y,Y,Y,N,Y,Y,Y,Y,H,Y,,,,alone,20,N
Y,Y,Y,N,N,Y,Y,Y,H,N,,,,friends,25,N
Y,Y,Y,N,N,Y,Y,Y,T,N,,,,friends,15,N
Y,Y,Y,N,N,Y,Y,Y,H,N,,,,friends,25,N
N,N,Y,N,N,Y,N,NR,T,N,,,,friends,15,N
Y,Y,Y,N,N,Y,Y,Y,H,N,,,,friends,0,N
Y,Y,Y,N,Y,Y,Y,Y,T,Y,,,,friends,30,N
Y,Y,Y,Y,N,Y,Y,Y,T,N,,,,friends,30,N
N,N,Y,N,N,DNS,Y,NR,H,N,,,,friends,0,N
