"Y","Y","Y","Y","Y","Y","Y","Y","H","Y","Y","N","N","ALONE","FREE","N"
"Y","Y","Y","Y","Y","Y","Y","Y","T","Y","Y",,"N","FAMILY",8,"Y"
"Y","Y","Y","N","N","Y","Y","Y","T","N","Y","N","Y","FRIENDS",10,"N"
"Y","N","Y","N","N","Y","Y","Y","T","N","Y","N","Y","FAMILY",10,"N"
"Y","Y","Y","N","N","Y","Y","Y","T","N","Y",,,"N","N","Y"
"Y","N","N","N","N","N","N","N","N","N","Y","N","N","FRIENDS",10,"N"
"Y","Y","Y","Y","Y","Y","Y","Y","H","Y","Y","N","N","ALONE","FREE","N"
"Y","Y","Y","Y","Y","Y","Y","Y","T","Y","Y",,,"FAMILY",12,"N"
"Y","Y","Y","N","Y","Y","Y","Y","T","N","Y",,"Y","FAMILY",8,"N"
"Y","Y","Y","N","N","Y","Y","Y","T","N","Y","N","Y","FRIENDS",10,"N"
