Y,DN,N,N,,Y,Y,Y,H,,,,,date,0,DN
Y,DN,Y,N,,Y,Y,Y,T,,,,,friends,0,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,13,DN
Y,Y,Y,N,,Y,Y,DNR,T,,,,,date,13,DN
Y,DN,DN,DN,,DNS,Y,DNR,T,,,,,date,13,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,13,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,13,DN
N,DN,DN,DN,,Y,Y,DNR,H,,,,,alone,0,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,13,DN
Y,DN,Y,N,,Y,Y,DNR,T,,,,,date,13,DN
Y,Y,DN,DN,,Y,Y,DNR,T,,,,,date,17,DN
N,DN,DN,DN,,DNS,Y,Y,T,,,,,date,13,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,13,DN
N,DN,DN,DN,,Y,Y,Y,H,,,,,date,0,DN
Y,Y,DN,DN,,Y,Y,DNR,T,,,,,date,17,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,13,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,17,DN
Y,DN,Y,N,,Y,Y,DNR,T,,,,,date,13,DN
Y,DN,Y,N,,Y,Y,DNR,T,,,,,date,13,DN
Y,DN,Y,N,Y,Y,Y,DNR,T,,,,,date,13,DN
N,DN,Y,Y,,N,Y,DNR,T,,,,,date,13,DN
Y,DN,Y,N,,Y,Y,DNR,H,,,,,date,4,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,alone,17,DN
Y,DN,Y,N,,Y,Y,DNR,T,,,,,date,17,DN
Y,DN,DN,DN,,Y,Y,DNR,H,,,,,date,0,DN
N,DN,DN,DN,,Y,Y,DNR,,,,,,date,0,DN
Y,DN,Y,N,,Y,Y,DNR,T,,,,,date,13,DN
Y,DN,Y,N,,Y,Y,DNR,T,,,,,date,17,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,13,DN
Y,DN,DN,DN,,Y,Y,DNR,H,,,,,date,0,DN
Y,DN,Y,N,,Y,Y,DNR,H,,,,,date,0,DN
Y,DN,Y,N,,Y,Y,DNR,T,,,,,date,17,DN
Y,DN,DN,DN,,Y,Y,DNR,H,,,,,alone,0,DN
Y,DN,DN,DN,,Y,Y,DNR,T,,,,,date,17,DN
