"Y","DN","Y","N","N","Y","DNS","NR","T","DN","Y","N","N","F",15,"N"
"N","Y","Y","Y","Y","Y","DNS","NR","T","Y","Y","N","N","F",15,"Y"
"N","DN","DN","DN","Y","DNS","DNS","NR","H","Y","Y",,,"A",0,"n/a"
"Y","Y","DN","DN","N","Y","Y","Y","H","DN","Y",,,"F",0,"n/a"
"Y","Y","Y","N","N","Y","Y","Y","T","N","Y","N","N","F",15,"Y"
"N","DN","Y","N","N","Y","DNS","NR","T","N","Y","N","N","F",15,"Y"
"Y","Y","Y","N","N","N","Y","Y","T","N","Y","N","N","F",15,"Y"
"Y","Y","Y","N","N","Y","Y","NR","H","N","Y",,,"A",0,"n/a"
"Y","Y","Y","N","Y","Y","Y","Y","T","N","Y",,,,,
"Y","Y","Y","N","Y","Y","DNS","NR","T","N","Y","N","N","F",15,"Y"
