"Y","DN","Y","N","Y","Y","DN","Y","T","Y",,,,"F","$13.00 ","N"
"Y","DN","DN","N","N","Y","DN","Y","T","N",,,,"DN","$13.00 ","N"
"Y","DN","Y","N","N","Y","DN","Y","H","N",,,,"A","DN","N"
"Y","DN","DN","N","N","DN","DN","Y","H","N",,,,"F","DN","N"
"N","DN","DN","N","N","DN","DN","Y","H","N",,,,"F","DN","N"
"Y","Y","Y","N","Y","Y","DN","Y","T","N",,,,"F","$13.00 ","N"
"Y","Y","Y","N","Y","Y","D","Y","T","N",,,,"F","$13.00 ","N"
"Y","Y","Y","N","N","DN","DN","Y","T","N",,,,"F","$10.50 ","N"
"Y","Y","Y","N","Y","Y","D","Y","T","N",,,,"F","$13.00 ","N"
"N","DN","DN","N","N","DN","DN","Y","T","N",,,,"F","DN","N"
"Y","DN","DN","N","N","Y","DN","Y","T","N",,,,"F","$13.00 ","N"
