"N","DN","N","N",,"Y","Y","Y","T",,"Y","N","N","D",30,"N"
"N","Y","Y","N","Y","N","Y","DN","T",,"Y","N","Y","F",15,"N"
"Y","N","Y","N",,"Y","Y","DN","T",,"Y","Y","N","F",12,"N"
"Y","Y","Y","N",,"Y","Y",,"T",,,"N","N","F",12,
"Y","Y","DN","N",,"Y","Y","Y","T",,,"N","N","F",0,"N"
"Y","DN","N","N",,"DN","Y","DN","T",,,"N","N","F",0,"N"
"N","DN","Y","N",,"Y","Y","Y","H",,,,,"N",0,"N"
"N","DN","N","N",,"DN","Y","DN","H",,,,,"F",0,"N"
"Y","DN","Y","N",,"Y","Y","DN","T",,,"Y","N","F",12,"Y"
"N","DN","N","N",,"DN","DN","Y","H",,,,,"F",0,"N"
"Y","Y","Y","N","Y","DN","N","N","T",,,"N","N","F",0,"N"
