Y,Y,Y,Y,Y,Y,Y,Y,H,Y,Y,N,N,alone,free
Y,Y,Y,Y,Y,Y,Y,Y,T,Y,Y,,N,family,low
Y,Y,Y,N,N,Y,Y,Y,T,N,Y,N,Y,friends,medium
Y,N,Y,N,N,Y,Y,Y,T,N,Y,N,Y,family,medium
Y,Y,Y,N,N,Y,Y,Y,T,N,Y,,,N,N
Y,N,N,N,N,N,N,N,N,N,Y,N,N,friends,medium
Y,Y,Y,Y,Y,Y,Y,Y,H,Y,Y,N,N,alone,free
Y,Y,Y,Y,Y,Y,Y,Y,T,Y,Y,,,family,medium
Y,Y,Y,N,Y,Y,Y,Y,T,N,Y,,Y,family,low
Y,Y,Y,N,N,Y,Y,Y,T,N,Y,N,Y,friends,medium
N,DN,Y,N,N,Y,DN,N,H,N,N,Y,N,alone,free
N,Y,Y,Y,Y,Y,DN,N,H,Y,N,Y,N,alone,free
Y,Y,Y,N,Y,Y,Y,Y,T,Y,N,Y,N,friends,medium
N,DN,N,N,N,DNS,DN,Y,H,N,N,Y,N,friends,low
N,DN,Y,N,N,Y,DN,N,H,N,N,Y,N,alone,free
Y,Y,Y,N,N,Y,DN,Y,H,N,N,Y,N,alone,free
Y,DN,Y,N,N,Y,DN,N,H,N,N,Y,N,friends,free
Y,Y,Y,N,Y,Y,Y,Y,H,Y,N,Y,N,friends,free
Y,DN,N,N,N,Y,DN,Y,H,N,N,Y,N,date,free
Y,DN,N,N,N,N,DN,Y,H,N,N,Y,N,alone,free
Y,DN,N,N,N,Y,DN,Y,H,N,N,Y,N,alone,free
Y,Y,Y,Y,Y,Y,Y,Y,H,Y,N,Y,N,alone,free
Y,Y,Y,N,N,Y,Y,Y,H,N,N,Y,N,alone,free
Y,Y,Y,N,Y,Y,Y,Y,H,Y,N,Y,N,alone,free
Y,Y,Y,N,Y,Y,Y,Y,H,Y,N,Y,N,alone,free
Y,Y,Y,N,N,Y,Y,Y,T,N,N,Y,N,friends,medium
N,DN,Y,N,N,Y,DN,N,H,N,N,Y,N,alone,free
Y,DN,Y,N,N,Y,Y,N,H,N,N,Y,N,alone,free
Y,DN,Y,N,Y,Y,Y,Y,H,Y,N,Y,N,alone,free
Y,Y,Y,N,N,Y,DN,N,T,N,N,Y,N,10,free
Y,Y,Y,N,Y,Y,Y,Y,T,Y,N,Y,N,10,free
Y,Y,Y,N,Y,Y,Y,Y,H,Y,N,Y,N,friends,free
N,DN,Y,N,N,Y,DN,N,H,N,N,Y,N,alone,free
Y,Y,Y,N,N,DNS,DN,N,H,N,N,Y,N,alone,free
Y,Y,Y,N,N,Y,DN,Y,H,N,N,Y,N,alone,free
N,DN,Y,N,N,DNS,DN,N,H,N,N,Y,N,alone,free
N,Y,Y,N,Y,Y,DN,N,H,Y,N,Y,N,friends,free
Y,DN,Y,N,N,Y,DN,N,H,N,N,Y,N,alone,free
Y,Y,Y,N,N,DNS,DN,N,H,N,N,Y,N,alone,free
Y,Y,Y,N,N,DNS,Y,Y,H,N,N,Y,N,alone,free
Y,Y,Y,Y,Y,Y,Y,NR,T,N,N,Y,Y,date,medium
N,N,N,N,N,N,N,NR,H,N,,,,alone,free
Y,N,Y,N,N,DN,Y,Y,H,N,,,,alone,free
Y,Y,Y,N,Y,Y,Y,Y,T,Y,,,,friends,medium
Y,Y,Y,N,Y,Y,Y,Y,H,Y,,,,alone,free
Y,Y,Y,N,Y,Y,Y,Y,H,N,,,,alone,free
Y,Y,Y,N,Y,Y,Y,NR,H,N,,,,alone,free
Y,Y,Y,N,N,Y,N,N,H,N,,,,alone,free
Y,Y,Y,N,N,Y,Y,Y,T,N,,,,date,medium
Y,Y,Y,N,N,Y,Y,Y,H,N,,,,alone,free
Y,Y,Y,N,N,N,Y,NR,H,N,,,,alone,free
Y,Y,Y,N,N,Y,Y,NR,H,N,,,,friends,free
Y,Y,Y,N,N,Y,Y,Y,T,N,,,,friends,medium
Y,Y,Y,Y,N,,Y,NR,T,N,,,,friends,low
N,N,Y,Y,N,Y,Y,Y,H,N,,,,alone,free
Y,Y,Y,N,Y,Y,Y,NR,H,Y,,,,alone,free
Y,Y,Y,N,Y,Y,Y,Y,H,Y,,,,alone,free
Y,Y,N,N,N,Y,Y,NR,H,N,,,,alone,free
Y,Y,Y,N,Y,Y,Y,Y,T,Y,,,,friends,medium
Y,Y,Y,N,Y,Y,Y,Y,H,Y,,,,alone,free
Y,Y,Y,N,Y,Y,Y,NR,H,Y,,,,,free
Y,Y,Y,N,Y,Y,Y,Y,H,Y,,,,friends,free
Y,Y,Y,N,N,Y,Y,Y,T,N,,,,date,medium
Y,Y,Y,N,Y,Y,Y,Y,T,Y,,,,friends,medium
Y,Y,Y,Y,N,Y,Y,Y,T,N,,,,date,medium
Y,Y,N,Y,N,DN,DN,Y,H,N,,,,alone,free
Y,Y,Y,N,N,Y,Y,NR,H,N,,,,alone,free
Y,Y,Y,N,N,Y,Y,N,H,N,,,,alone,free
Y,Y,Y,Y,Y,Y,Y,NR,H,N,N,Y,N,alone,free
Y,Y,Y,N,Y,Y,N,NR,Y,,,,,alone,free
Y,N,Y,N,N,DN,Y,Y,T,N,,,,date,medium
Y,Y,Y,N,Y,Y,Y,Y,T,Y,,,,date,medium
Y,Y,Y,N,Y,Y,Y,NR,H,Y,,,,alone,free
Y,Y,Y,N,N,Y,Y,NR,T,Y,,,,friends,medium
Y,Y,Y,N,Y,Y,Y,Y,T,N,,,,friends,medium
Y,Y,Y,N,N,Y,Y,Y,T,N,,,,friends,medium
Y,Y,Y,N,N,Y,Y,Y,H,N,,,,alone,free
Y,Y,Y,N,N,N,Y,Y,H,N,,,,alone,free
Y,Y,Y,N,N,Y,Y,Y,T,N,,,,friends,medium
Y,Y,Y,Y,N,Y,Y,Y,T,N,,,,friends,medium
Y,Y,Y,Y,N,Y,Y,Y,T,N,,,,friends,medium
N,N,Y,Y,N,Y,Y,NR,H,N,,,,alone,free
Y,Y,Y,N,Y,Y,Y,NR,H,Y,,,,alone,free
Y,Y,Y,N,Y,Y,Y,NR,H,Y,,,,alone,free
Y,Y,N,N,N,Y,Y,NR,H,N,,,,alone,free
Y,Y,Y,N,N,Y,Y,Y,T,N,,,,friends,medium
