"Y","DK","Y","N",,"DNS","DK","Y","H",,,,
"Y","Y","Y","N",,"DNS","Y","NR","H",,,,
"Y","Y","Y","N",,"Y","Y","NR","T",,,,
"Y","DK","DK","DK",,"Y","Y","NR","H",,,,
"Y","Y","Y","N",,"Y","Y","NR","T",,,,
"Y","Y","N","N",,"Y","Y","NR","T",,,,
"Y","Y","Y","N",,"Y","Y","NR","T",,,,
"Y","DK","N","N",,"DNS","Y","Y","H",,,,
"Y","Y","Y","N",,"Y","Y","NR","T",,,,
"Y","Y","Y","N","Y","DNS","Y","NR","T",,,,
"Y","Y","Y","N","Y","Y","Y","NR","T",,,,
"Y","DK","Y","N","Y","N","N","Y","H",,,,
"Y","Y","Y","N",,"Y","Y","Y","H",,,,
"Y","N","Y","N",,"Y","Y","NR","T",,,,
"Y","N","Y","N",,"Y","N","NR","T",,,,
